name,time,tweet
JJHobbs12,Fri Sep 07 16:12:07 +0000 2018,"Slave owners and private prisons have used black men and women as a political and financial piece for gain

But people are mad that nike is putting money in Kaepernick's pockets giving a world platform for a message of racial injustice?
#nike #JustDoIt #Kaepernick #TakeAKnee"
Big_D718,Fri Sep 07 16:12:06 +0000 2018,This is fucked up lol #nike #colinkaepernick #kaepernick #america #nfl #justdoit #justdoit✔️#steviewonder https://t.co/6pbTchCKWd
OnlinePhil,Fri Sep 07 16:12:06 +0000 2018,Nike took a calculated risk. And won. #advertising #justdoit #nike https://t.co/1TGuPn9EAQ
THUGPUN_TRI,Fri Sep 07 16:12:03 +0000 2018,"Just Did It! 
#justdoit #nike #collinkaepernick #blackpower #thugpun https://t.co/MPrzoGVc5W"
DNASportsTalk,Fri Sep 07 16:12:00 +0000 2018,No one is safe @kobebryant 😂😂 #JustDoIt https://t.co/W1A5J84i4n
Sweetbuttafly12,Fri Sep 07 16:11:44 +0000 2018,@realDonaldTrump NIKE WAS PISSING YOU OFF.... AND IT WORKED!!!! AHAHAHAHAHAHAAHA #JUSTDOIT ✔️✔️✔️✔️✔️✔️✔️✔️✔️✔️ https://t.co/LwfWOu1Bds
_MsXFactor,Fri Sep 07 16:11:36 +0000 2018,Just to get you hyped for the weekend! #justdoit Nike: Juntas Imparables - Just Do It https://t.co/PxLs2wpnZL
tuesents,Fri Sep 07 16:11:32 +0000 2018,@beerscouts @LindseyGrahamSC @SenatorCollins @JeffFlake @marcorubio @SenSasse @SenatorIsakson @sendavidperdue @senrobportman @SenBobCorker @lisamurkowski @RepErikPaulsen @SenatorLankford @SenatorBurr @BillCassidy @SenPatRoberts They should #justdoit
ELPatrickStar,Fri Sep 07 16:11:32 +0000 2018,"its Natives killed
Got you singin' this star-spangled spiel
To a piece of cloth that represents the ""Land of the Free"" that made people slaves to build #eminem #revival #nike #ColinKaepernick #JustDoIt #iStandWithKaep"
teresalo,Fri Sep 07 16:11:30 +0000 2018,.@TMZ (of all places) analyzed @Nike customer demographic #JustDoIt https://t.co/tx7F99W2qC
MajicTg,Fri Sep 07 16:11:28 +0000 2018,"@nikestore love my nikes
#JUSTDOIT https://t.co/DNw0ZI3hiP"
